user_id,first_seen_date,prior_purchase_count
u0124,2026-06-16,5
u0125,2026-07-07,0
u0126,2026-07-07,1
u0127,2026-07-09,5
u0128,2026-06-13,5
u0129,2026-06-16,0
u0130,2026-07-05,5
u0131,2026-07-01,0
u0132,2026-06-25,0
u0133,2026-06-22,2
u0134,2026-07-08,0
u0135,2026-07-07,0
u0136,2026-06-27,1
u0137,2026-06-25,0
u0138,2026-07-08,2
u0139,2026-06-16,0
u0140,2026-07-14,0
u0141,2026-06-15,0
u0142,2026-06-20,1
u0143,2026-07-11,1
u0144,2026-06-23,1
u0145,2026-06-13,0
u0146,2026-07-04,0
u0147,2026-07-04,0
u0148,2026-07-09,0
u0149,2026-07-07,5
u0150,2026-07-15,5
u0151,2026-07-11,0
u0152,2026-06-22,0
u0153,2026-06-23,0
u0154,2026-07-17,5
u0155,2026-07-14,0
u0156,2026-06-30,0
u0157,2026-06-13,2
u0158,2026-07-10,2
u0159,2026-07-13,0
u0160,2026-06-13,2
u0161,2026-06-15,0
u0162,2026-06-14,2
u0163,2026-06-14,5
u0164,2026-06-25,1
u0165,2026-06-17,2
u0166,2026-06-25,2
u0167,2026-07-18,0
u0168,2026-07-19,0
u0169,2026-07-06,5
u0170,2026-07-17,2
u0171,2026-07-13,0
u0172,2026-06-26,0
u0173,2026-06-30,0
u0174,2026-06-26,1
u0175,2026-06-18,5
u0176,2026-06-29,1
u0177,2026-06-30,0
u0178,2026-06-10,1
u0179,2026-07-19,2
u0180,2026-06-16,0
u0181,2026-07-14,0
u0182,2026-07-12,0
u0183,2026-06-18,0
u0184,2026-06-14,0
u0185,2026-07-03,0
u0186,2026-06-20,1
u0187,2026-07-14,5
u0188,2026-06-29,2
u0189,2026-07-13,0
u0190,2026-07-15,0
u0191,2026-06-16,0
u0192,2026-06-26,0
u0193,2026-06-16,5
u0194,2026-07-15,0
u0195,2026-06-27,0
u0196,2026-07-18,0
u0197,2026-07-01,0
u0198,2026-07-20,0
u0199,2026-07-12,1
u0200,2026-06-26,0
u0201,2026-06-15,5
u0202,2026-07-07,0
u0203,2026-06-12,0
u0204,2026-07-01,0
u0205,2026-07-20,0
u0206,2026-06-20,5
u0207,2026-07-08,2
u0208,2026-07-07,2
u0209,2026-06-10,0
u0210,2026-06-14,5
u0211,2026-06-19,2
u0212,2026-06-12,0
u0213,2026-07-17,2
u0214,2026-06-19,1
u0215,2026-06-18,0
u0216,2026-06-29,0
u0217,2026-06-12,0
u0218,2026-06-23,5
u0219,2026-06-25,5
u0220,2026-06-16,0
u0221,2026-07-15,1
u0222,2026-07-19,5
u0223,2026-06-19,0
u0224,2026-06-20,0
u0225,2026-07-06,0
u0226,2026-06-21,5
u0227,2026-07-01,1
u0228,2026-06-25,0
u0229,2026-06-20,5
u0230,2026-06-16,1
u0231,2026-06-12,1
u0232,2026-06-24,0
u0233,2026-07-09,0
u0234,2026-06-29,0
u0235,2026-06-24,0
u0236,2026-06-22,1
u0237,2026-07-01,0
u0238,2026-06-14,0
u0239,2026-07-02,5
u0240,2026-07-12,1
u0241,2026-07-14,0
u0242,2026-06-11,0
u0243,2026-06-26,0
u0244,2026-07-17,0
u0245,2026-06-12,0
u0246,2026-07-18,1
u0247,2026-07-02,5
u0248,2026-06-30,1
u0249,2026-07-18,2
u0250,2026-06-17,1
u0251,2026-07-16,0
u0252,2026-06-26,0
u0253,2026-07-07,0
u0254,2026-07-13,2
u0255,2026-06-22,0
u0256,2026-07-07,0
u0257,2026-07-01,2
u0258,2026-06-30,5
u0259,2026-06-17,5
u0260,2026-06-29,2
u0261,2026-06-29,5
u0262,2026-07-06,0
u0263,2026-07-05,5
u0264,2026-06-28,2
u0265,2026-06-18,0
u0266,2026-07-06,5
u0267,2026-07-04,5
u0268,2026-06-21,2
u0269,2026-07-16,0
u0270,2026-07-05,2
u0271,2026-06-10,0
u0272,2026-06-28,0
u0273,2026-07-07,2
u0274,2026-07-18,5
u0275,2026-06-30,1
u0276,2026-07-08,1
u0277,2026-06-23,2
u0278,2026-07-10,5
u0279,2026-06-20,5
u0280,2026-06-15,0
u0281,2026-07-12,5
u0282,2026-07-20,2
u0283,2026-07-01,0
u0284,2026-06-25,5
u0285,2026-06-29,0
u0286,2026-06-22,0
u0287,2026-06-11,0
u0288,2026-06-25,1
u0289,2026-07-19,0
u0290,2026-07-09,1
u0291,2026-07-20,2
u0292,2026-06-22,5
u0293,2026-07-04,1
u0294,2026-07-05,0
u0295,2026-06-19,5
u0296,2026-06-10,0
u0297,2026-07-07,0
u0298,2026-06-21,5
u0299,2026-07-13,1
u0300,2026-06-13,2
u0301,2026-06-25,0
u0302,2026-07-09,0
u0303,2026-07-09,5
u0304,2026-07-13,2
u0305,2026-07-18,0
u0306,2026-07-08,2
u0307,2026-07-12,1
u0308,2026-07-15,1
u0309,2026-06-20,5
u0310,2026-07-10,1
u0311,2026-06-26,0
u0312,2026-07-20,0
u0313,2026-07-13,1
u0314,2026-07-20,0
u0315,2026-06-27,1
u0316,2026-06-14,5
u0317,2026-06-28,0
u0318,2026-06-27,0
u0319,2026-06-30,2
u0320,2026-06-15,0
u0321,2026-06-19,0
u0322,2026-07-04,5
u0323,2026-06-19,5
u0324,2026-06-23,0
u0325,2026-07-06,1
u0326,2026-07-01,2
u0327,2026-07-09,1
u0328,2026-06-13,0
u0329,2026-07-06,1
u0330,2026-07-17,5
u0331,2026-06-11,2
u0332,2026-07-04,1
u0333,2026-06-10,0
u0334,2026-06-29,1
u0335,2026-07-06,2
u0336,2026-07-14,2
u0337,2026-06-24,1
u0338,2026-06-24,0
u0339,2026-07-07,1
u0340,2026-06-11,1
u0341,2026-07-01,5
u0342,2026-07-05,5
u0343,2026-06-20,1
u0344,2026-06-18,2
u0345,2026-07-14,0
u0346,2026-07-05,2
u0347,2026-07-16,5
u0348,2026-06-11,0
u0349,2026-07-07,0
u0350,2026-07-09,0
u0351,2026-06-13,0
u0352,2026-07-04,0
u0353,2026-06-23,1
u0354,2026-06-30,0
u0355,2026-07-04,0
u0356,2026-07-06,0
u0357,2026-06-15,1
u0358,2026-06-11,5
u0359,2026-07-14,0
u0360,2026-07-02,0
u0361,2026-06-14,5
u0362,2026-06-12,0
u0363,2026-06-25,0
u0364,2026-06-11,2
u0365,2026-06-19,0
u0366,2026-06-18,1
u0367,2026-06-17,2
u0368,2026-06-23,1
u0369,2026-06-26,0
u0370,2026-06-20,2
u0371,2026-07-18,5
u0372,2026-06-17,0
u0373,2026-06-29,0
u0374,2026-07-17,0
u0375,2026-06-29,2
u0376,2026-07-04,1
u0377,2026-06-22,0
u0378,2026-07-17,5
u0379,2026-07-20,0
u0380,2026-06-16,5
u0381,2026-06-29,5
u0382,2026-07-18,0
u0383,2026-07-16,0
u0384,2026-07-02,2
u0385,2026-07-07,5
u0386,2026-07-03,0
u0387,2026-07-12,5
u0388,2026-07-01,0
u0389,2026-07-06,1
u0390,2026-06-16,1
u0391,2026-07-03,5
u0392,2026-07-09,5
u0393,2026-06-19,1
u0394,2026-06-21,5
u0395,2026-07-13,5
u0396,2026-06-27,2
u0397,2026-07-14,1
u0398,2026-07-09,1
u0399,2026-07-17,0
u0400,2026-06-30,0
